月份,縣市代碼,縣市名稱,鄉鎮代碼,鄉鎮名稱,村里名稱,用電量_2013
6,63000,臺北市,6300100,松山區,新聚里,2429103
6,63000,臺北市,6300100,松山區,福成里,787311
6,63000,臺北市,6300100,松山區,復建里,1981
6,63000,臺北市,6300100,松山區,吉仁里,2389
6,63000,臺北市,6300100,松山區,敦化里,--
6,63000,臺北市,6300100,松山區,復源里,1911
6,63000,臺北市,6300100,松山區,民有里,7199
6,63000,臺北市,6300100,松山區,民福里,71120
6,63000,臺北市,6300100,松山區,松基里,1660305
6,63000,臺北市,6300100,松山區,東榮里,7000
6,63000,臺北市,6300100,松山區,三民里,793770
6,63000,臺北市,6300100,松山區,富錦里,--
6,63000,臺北市,6300100,松山區,精忠里,--
6,63000,臺北市,6300100,松山區,東昌里,--
6,63000,臺北市,6300100,松山區,復盛里,1809249
6,63000,臺北市,6300100,松山區,美仁里,979710
6,63000,臺北市,6300100,松山區,莊敬里,731950
6,63000,臺北市,6300100,松山區,新益里,907363
6,63000,臺北市,6300100,松山區,安平里,2486078
6,63000,臺北市,6300100,松山區,復勢里,2047569
6,63000,臺北市,6300100,松山區,鵬程里,1446485
6,63000,臺北市,6300100,松山區,中華里,1175255
6,63000,臺北市,6300100,松山區,中崙里,1171506
6,63000,臺北市,6300100,松山區,東勢里,1397669
6,63000,臺北市,6300100,松山區,自強里,2242606
6,63000,臺北市,6300100,松山區,龍田里,1708845
6,63000,臺北市,6300100,松山區,東光里,2208532
6,63000,臺北市,6300100,松山區,吉祥里,2806203
6,63000,臺北市,6300100,松山區,新東里,1018829
6,63000,臺北市,6300100,松山區,介壽里,990422
6,63000,臺北市,6300100,松山區,富泰里,1116196
6,63000,臺北市,6300100,松山區,中正里,1231156
6,63000,臺北市,6300100,松山區,慈祐里,2251357
6,63000,臺北市,6300200,信義區,四育里,1420328
6,63000,臺北市,6300200,信義區,雅祥里,1223339
6,63000,臺北市,6300200,信義區,五常里,998574
6,63000,臺北市,6300200,信義區,新仁里,5623
6,63000,臺北市,6300200,信義區,黎忠里,--
6,63000,臺北市,6300200,信義區,景聯里,282799
6,63000,臺北市,6300200,信義區,松友里,879
6,63000,臺北市,6300200,信義區,景勤里,3523
6,63000,臺北市,6300200,信義區,敦厚里,322
6,63000,臺北市,6300200,信義區,五全里,40
6,63000,臺北市,6300200,信義區,黎安里,2595
6,63000,臺北市,6300200,信義區,四維里,--
6,63000,臺北市,6300200,信義區,永春里,--
6,63000,臺北市,6300200,信義區,廣居里,10020
6,63000,臺北市,6300200,信義區,興雅里,1791
6,63000,臺北市,6300200,信義區,嘉興里,25880
6,63000,臺北市,6300200,信義區,大道里,--
6,63000,臺北市,6300200,信義區,大仁里,--
6,63000,臺北市,6300200,信義區,松光里,--
6,63000,臺北市,6300200,信義區,中坡里,3518
6,63000,臺北市,6300200,信義區,長春里,--
6,63000,臺北市,6300200,信義區,國業里,--
6,63000,臺北市,6300200,信義區,松隆里,--
6,63000,臺北市,6300200,信義區,黎平里,74
6,63000,臺北市,6300200,信義區,富台里,765
6,63000,臺北市,6300200,信義區,中行里,5760
6,63000,臺北市,6300200,信義區,六藝里,746
6,63000,臺北市,6300200,信義區,黎順里,12920
6,63000,臺北市,6300200,信義區,安康里,21640
6,63000,臺北市,6300200,信義區,興隆里,297201
6,63000,臺北市,6300200,信義區,景新里,2099953
6,63000,臺北市,6300200,信義區,雙和里,612191
6,63000,臺北市,6300200,信義區,惠安里,1729040
6,63000,臺北市,6300200,信義區,正和里,1308958
6,63000,臺北市,6300200,信義區,西村里,1014641
6,63000,臺北市,6300200,信義區,中興里,926716
6,63000,臺北市,6300200,信義區,泰和里,1997063
6,63000,臺北市,6300200,信義區,三張里,2846082
6,63000,臺北市,6300200,信義區,三犁里,1981124
6,63000,臺北市,6300200,信義區,六合里,2149963
6,63000,臺北市,6300200,信義區,永吉里,1318113
6,63000,臺北市,6300300,大安區,和安里,1778341
6,63000,臺北市,6300300,大安區,民炤里,2710693
6,63000,臺北市,6300300,大安區,龍安里,1675421
6,63000,臺北市,6300300,大安區,錦泰里,17634
6,63000,臺北市,6300300,大安區,華聲里,1649526
6,63000,臺北市,6300300,大安區,龍坡里,834680
6,63000,臺北市,6300300,大安區,光明里,935729
6,63000,臺北市,6300300,大安區,永康里,1033751
6,63000,臺北市,6300300,大安區,龍圖里,768
6,63000,臺北市,6300300,大安區,正聲里,1819960
6,63000,臺北市,6300300,大安區,敦煌里,--
6,63000,臺北市,6300300,大安區,光武里,6922
6,63000,臺北市,6300300,大安區,法治里,--
6,63000,臺北市,6300300,大安區,錦華里,864
6,63000,臺北市,6300300,大安區,學府里,298344
6,63000,臺北市,6300300,大安區,古風里,398343
6,63000,臺北市,6300300,大安區,昌隆里,--
6,63000,臺北市,6300300,大安區,龍生里,2355
6,63000,臺北市,6300300,大安區,通化里,1979
6,63000,臺北市,6300300,大安區,福住里,788
6,63000,臺北市,6300300,大安區,龍泉里,--
6,63000,臺北市,6300300,大安區,新龍里,--
6,63000,臺北市,6300300,大安區,龍陣里,--
6,63000,臺北市,6300300,大安區,敦安里,--
6,63000,臺北市,6300300,大安區,義安里,8200
6,63000,臺北市,6300300,大安區,臨江里,--
6,63000,臺北市,6300300,大安區,龍淵里,--
6,63000,臺北市,6300300,大安區,龍門里,--
6,63000,臺北市,6300300,大安區,建倫里,3519
6,63000,臺北市,6300300,大安區,臥龍里,4743
6,63000,臺北市,6300300,大安區,全安里,6329
6,63000,臺北市,6300300,大安區,義村里,5284
6,63000,臺北市,6300300,大安區,古莊里,35537
6,63000,臺北市,6300300,大安區,通安里,13858
